doc_id,title,department,year,region,text
D001,"Document Title D001 (hr)",hr,2024,europe,"This is the body text of document D001 in department hr for region europe and year 2024."
D002,"Document Title D002 (sales)",sales,2024,asia_pacific,"This is the body text of document D002 in department sales for region asia_pacific and year 2024."
D003,"Document Title D003 (sales)",sales,2022,latin_america,"This is the body text of document D003 in department sales for region latin_america and year 2022."
D004,"Document Title D004 (hr)",hr,2023,asia_pacific,"This is the body text of document D004 in department hr for region asia_pacific and year 2023."
D005,"Document Title D005 (finance)",finance,2022,asia_pacific,"This is the body text of document D005 in department finance for region asia_pacific and year 2022."
D006,"Document Title D006 (sales)",sales,2026,north_america,"This is the body text of document D006 in department sales for region north_america and year 2026."
D007,"Document Title D007 (legal)",legal,2023,north_america,"This is the body text of document D007 in department legal for region north_america and year 2023."
D008,"Document Title D008 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D008 in department engineering for region asia_pacific and year 2021."
D009,"Document Title D009 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D009 in department engineering for region asia_pacific and year 2021."
D010,"Document Title D010 (engineering)",engineering,2020,europe,"This is the body text of document D010 in department engineering for region europe and year 2020."
D011,"Document Title D011 (hr)",hr,2026,north_america,"This is the body text of document D011 in department hr for region north_america and year 2026."
D012,"Document Title D012 (hr)",hr,2022,latin_america,"This is the body text of document D012 in department hr for region latin_america and year 2022."
D013,"Document Title D013 (sales)",sales,2024,europe,"This is the body text of document D013 in department sales for region europe and year 2024."
D014,"Document Title D014 (marketing)",marketing,2025,north_america,"This is the body text of document D014 in department marketing for region north_america and year 2025."
D015,"Document Title D015 (marketing)",marketing,2020,north_america,"This is the body text of document D015 in department marketing for region north_america and year 2020."
D016,"Document Title D016 (finance)",finance,2021,north_america,"This is the body text of document D016 in department finance for region north_america and year 2021."
D017,"Document Title D017 (engineering)",engineering,2025,europe,"This is the body text of document D017 in department engineering for region europe and year 2025."
D018,"Document Title D018 (sales)",sales,2024,asia_pacific,"This is the body text of document D018 in department sales for region asia_pacific and year 2024."
D019,"Document Title D019 (legal)",legal,2020,latin_america,"This is the body text of document D019 in department legal for region latin_america and year 2020."
D020,"Document Title D020 (sales)",sales,2026,latin_america,"This is the body text of document D020 in department sales for region latin_america and year 2026."
D021,"Document Title D021 (legal)",legal,2025,europe,"This is the body text of document D021 in department legal for region europe and year 2025."
D022,"Document Title D022 (finance)",finance,2024,europe,"This is the body text of document D022 in department finance for region europe and year 2024."
D023,"Document Title D023 (marketing)",marketing,2025,latin_america,"This is the body text of document D023 in department marketing for region latin_america and year 2025."
D024,"Document Title D024 (marketing)",marketing,2022,europe,"This is the body text of document D024 in department marketing for region europe and year 2022."
D025,"Document Title D025 (hr)",hr,2023,latin_america,"This is the body text of document D025 in department hr for region latin_america and year 2023."
